# ----------------------------------------
# Report CSV Export
# Account: QUT Centre for Robotics
# Property: QCR Open Source Website
# ----------------------------------------
# 
# All Users
# Start date: 20210502
# End date: 20220502

Page path + query string and screen class,Views
/code/benchbot/,18,8,3,2.25,71,5,51,0,0
/code/event_vpr_code/,17,14,0,1.2142857142857142,33.714285714285715,1,50,0,0
/code/code-templates/,15,11,2,1.3636363636363635,41.45454545454545,3,29,0,0
/dataset/airspace-traffic-occupancy/,14,2,0,7,127,0,21,0,0
/code/lost_code/,13,12,1,1.0833333333333333,39.333333333333336,2,25,0,0
/code/openseqslam2_code/,13,11,0,1.1818181818181819,33.27272727272727,1,23,0,0
/code/spatialmath-python/,13,8,0,1.625,20.125,0,20,0,0
/collection/rt_gene_overview/,13,11,0,1.1818181818181819,73.81818181818181,0,15,0,0
/code/delta_descriptors_code/,12,10,0,1.2,97.5,2,30,0,0
/code/heaputil_code/,11,8,1,1.375,29.25,1,25,0,0
/collection/human-cues/,11,7,0,1.5714285714285714,16.714285714285715,1,14,0,0
/dataset/day-night-lateral/,11,5,0,2.2,50.4,5,23,0,0
/dataset/fish-image/,11,5,0,2.2,30.8,3,32,0,0
/debug/,11,2,1,5.5,25,2,32,0,0
/dataset/night-time-drive/,10,5,0,2,15.4,3,23,0,0
/code/benchbot-eval/,9,9,0,1,7.888888888888889,2,15,0,0
/dataset/cbd-and-highway/,9,6,0,1.5,14.166666666666666,3,15,0,0
/dataset/gold-coast-drive/,9,4,0,2.25,4,2,15,0,0
/dataset/benchbot-develop/,8,5,0,1.6,11.6,1,16,0,0
/dataset/rt_bene_dataset/,8,3,0,2.6666666666666665,56.666666666666664,1,14,0,0
/?&,7,7,7,1,0,0,21,0,0
/code/benchbot-simulator/,7,3,0,2.3333333333333335,13.666666666666666,1,10,0,0
/code/teach_repeat/,7,5,0,1.4,56.4,2,17,0,0
/code/Move-to-see/,6,6,0,1,9.833333333333334,1,12,0,0
/code/abstract-map-simulator/,6,5,0,1.2,15.4,1,16,0,0
/dataset/indoor-level-7/,6,5,0,1.2,14.8,4,11,0,0
/dataset/openratslam/,6,4,1,1.5,6.75,1,12,0,0
/dataset/rt_gene_dataset/,6,6,0,1,10.833333333333334,1,8,0,0
/code/benchbot-addons/,5,1,0,5,44,0,6,0,0
/code/topometric_localization/,5,5,0,1,11.6,0,7,0,0
/code/ros-omron-driver/,4,3,0,1.3333333333333333,22.333333333333332,2,11,0,0
/dataset/multilane-sideways/,4,3,0,1.3333333333333333,8.666666666666666,1,7,0,0
/_next/static/images/debug-0b702a0b6abfa7d90459998e6fa0ee8c.mp4,3,1,0,3,21,1,9,0,0
/dataset/kitti-semantics/,3,2,0,1.5,62,1,6,0,0
/dataset/trip-hazards/,3,3,0,1,24.333333333333332,0,4,0,0
/_next/static/images/gold_coast_sample-403d54f648160fcbabca61f64c22ba22.jpg,2,1,0,2,1,1,8,0,0
/code/abstract-map-app/,2,2,0,1,0.5,0,3,0,0
/code/benchbot-api/,2,2,0,1,3,0,2,0,0
/code/benchbot-supervisor/,2,2,0,1,24.5,0,3,0,0
/code/pdq/,2,2,0,1,63,0,6,0,0
/code/rt_gene_code/,2,2,0,1,25.5,0,4,0,0
/code/seq2single_code/,2,2,0,1,6,0,3,0,0
/dataset/air-traffic-occupancy/,2,1,0,2,50,1,5,0,0
/dataset/floor-and-lawn/,2,2,0,1,2.5,1,3,0,0
